size,product,colorway,event_base_price,asset,source_file
6 inch,Human Grade 6-Inch Ball Water Pipe — Upgraded Rounded Base,Clear,$50,assets/medusa/6-inch-ball/pixies-pantry-human-grade-6-inch-ball-water-pipe-clear.jpg,BHcfGhTwIXm2OJlTXBqSJXeYThGTqCYfOlK812mt.jpg.jpeg
6 inch,Human Grade 6-Inch Ball Water Pipe — Upgraded Rounded Base,Clear / Black,$50,assets/medusa/6-inch-ball/pixies-pantry-human-grade-6-inch-ball-water-pipe-clear-black.jpg,JEOQ72miv0SXABBX3v9xlaMF8SBBrCFMlW5vsx1R.jpg.jpeg
6 inch,Human Grade 6-Inch Ball Water Pipe — Upgraded Rounded Base,Clear / Blue,$50,assets/medusa/6-inch-ball/pixies-pantry-human-grade-6-inch-ball-water-pipe-clear-blue.jpg,Erx7xXqoFvp6iic9k1YuDGFQOXootj2Pipl6OLa3.jpg.jpeg
6 inch,Human Grade 6-Inch Ball Water Pipe — Upgraded Rounded Base,Clear / Green,$50,assets/medusa/6-inch-ball/pixies-pantry-human-grade-6-inch-ball-water-pipe-clear-green.jpg,DVDRJY0aNEHAENolSi9653xbOrPHKxvco02aDZ6s.jpg.jpeg
6 inch,Human Grade 6-Inch Ball Water Pipe — Upgraded Rounded Base,Clear / Lake Green,$50,assets/medusa/6-inch-ball/pixies-pantry-human-grade-6-inch-ball-water-pipe-clear-lake-green.jpg,0w7fsEY0oPpht6VKycTVssBIZEy78r9dq6XI1oIR.jpg.jpeg
6 inch,Human Grade 6-Inch Ball Water Pipe — Upgraded Rounded Base,Clear / Lavender,$50,assets/medusa/6-inch-ball/pixies-pantry-human-grade-6-inch-ball-water-pipe-clear-lavender.jpg,3htxOXWq3FT0iZUzJjcoGuLrFPTlSO0w4Z7d10NN.jpg.jpeg
6 inch,Human Grade 6-Inch Ball Water Pipe — Upgraded Rounded Base,Clear / Matrix Green,$50,assets/medusa/6-inch-ball/pixies-pantry-human-grade-6-inch-ball-water-pipe-clear-matrix-green.jpg,bcfForNRxTSesjTj1UJ4gfkoKDCtzUPJwD0StdGn.jpg.jpeg
6 inch,Human Grade 6-Inch Ball Water Pipe — Upgraded Rounded Base,Clear / Pink,$50,assets/medusa/6-inch-ball/pixies-pantry-human-grade-6-inch-ball-water-pipe-clear-pink.jpg,lk2JYSRQgWKWuCHVrOHv6RFtaYz0DEPC9gJOEl92.jpg.jpeg
6 inch,Human Grade 6-Inch Ball Water Pipe — Upgraded Rounded Base,Clear / Smoke,$50,assets/medusa/6-inch-ball/pixies-pantry-human-grade-6-inch-ball-water-pipe-clear-smoke.jpg,J53FiMApnsfF3ZRBQrVHMmL8L1aYfAl2bxcz6teu.jpg.jpeg
6 inch,Human Grade 6-Inch Ball Water Pipe — Upgraded Rounded Base,Lavender,$50,assets/medusa/6-inch-ball/pixies-pantry-human-grade-6-inch-ball-water-pipe-lavender.jpg,wYa53FDkAJnkVKOPHAUadVeoub81CsB72TVS0HO6.jpg.jpeg
6 inch,Human Grade 6-Inch Ball Water Pipe — Upgraded Rounded Base,Smoke,$50,assets/medusa/6-inch-ball/pixies-pantry-human-grade-6-inch-ball-water-pipe-smoke.jpg,J53FiMApnsfF3ZRBQrVHMmL8L1aYfAl2bxcz6teu.jpg.jpeg
6 inch,Human Grade 6-Inch Ball Water Pipe — Upgraded Rounded Base,Smoke / Matrix,$50,assets/medusa/6-inch-ball/pixies-pantry-human-grade-6-inch-ball-water-pipe-smoke-matrix.jpg,5vBzKOjFAhMYIVt6GoAbBMgiewbL1byRzqwvnHff.jpg.jpeg
6 inch,Human Grade 6-Inch Ball Water Pipe — Upgraded Rounded Base,Smoke / White,$50,assets/medusa/6-inch-ball/pixies-pantry-human-grade-6-inch-ball-water-pipe-smoke-white.jpg,bACnrdozenHIAhFFgexM0IV6BWm2IFNDTCzY5ysW.jpg.jpeg
6 inch,Human Grade 6-Inch Ball Water Pipe — Upgraded Rounded Base,Smoke / Yellow,$50,assets/medusa/6-inch-ball/pixies-pantry-human-grade-6-inch-ball-water-pipe-smoke-yellow.jpg,5tUxk2bKgKxLJ4c2jyksNIpInfvoNxUdb6Pylxic.jpg.jpeg
6 inch,Human Grade 6-Inch Ball Water Pipe — Upgraded Rounded Base,White / Black,$50,assets/medusa/6-inch-ball/pixies-pantry-human-grade-6-inch-ball-water-pipe-white-black.jpg,ACC5YNm6Uw7TCJ1YIB4tzLYpSCqrnvj5CsjWNz9b.jpg.jpeg
6 inch,Human Grade 6-Inch Ball Water Pipe — Upgraded Rounded Base,White / Pink,$50,assets/medusa/6-inch-ball/pixies-pantry-human-grade-6-inch-ball-water-pipe-white-pink.jpg,uEZlatOqhA2qze4THOg6H7dT9trcmu4sVQRMaTPT.jpg.jpeg
6 inch,Human Grade 6-Inch Ball Water Pipe — Upgraded Rounded Base,Yellow / Smoke,$50,assets/medusa/6-inch-ball/pixies-pantry-human-grade-6-inch-ball-water-pipe-yellow-smoke.jpg,snYrdOlzmViE35Ou2ROhCieaX8sfx5tNT4KRxWpx.jpg.jpeg
9 inch,Human Grade 9-Inch Ball Water Pipe — Upgraded Rounded Base,Clear,$60,assets/medusa/9-inch-ball/pixies-pantry-human-grade-9-inch-ball-water-pipe-clear.jpg,KiAhlPYb4xp7KzfNWIeZQnT7eCpPGXzWReF7OkCO.jpg.jpeg
9 inch,Human Grade 9-Inch Ball Water Pipe — Upgraded Rounded Base,Clear / Black,$60,assets/medusa/9-inch-ball/pixies-pantry-human-grade-9-inch-ball-water-pipe-clear-black.png,pvZIR1CNGF8vo2Vbl6Cq7q4S2zuyLCOzPJvrHrvW.png
9 inch,Human Grade 9-Inch Ball Water Pipe — Upgraded Rounded Base,Clear / Blue,$60,assets/medusa/9-inch-ball/pixies-pantry-human-grade-9-inch-ball-water-pipe-clear-blue.png,Hli7y8fgeFEoB8DBTvNhatfVRZhxn3vk0sarQ5MY.png
9 inch,Human Grade 9-Inch Ball Water Pipe — Upgraded Rounded Base,Clear / Lavender,$60,assets/medusa/9-inch-ball/pixies-pantry-human-grade-9-inch-ball-water-pipe-clear-lavender.png,wrdHWfsh2g2znH524syfEQO38EVHdIS8Wgggq2ET.png
9 inch,Human Grade 9-Inch Ball Water Pipe — Upgraded Rounded Base,Clear / Smoke,$60,assets/medusa/9-inch-ball/pixies-pantry-human-grade-9-inch-ball-water-pipe-clear-smoke.png,ZHIyyMT7QdcPpeofbmVESJGmtZuNdqC85HitGYho.png
9 inch,Human Grade 9-Inch Ball Water Pipe — Upgraded Rounded Base,Lavender,$60,assets/medusa/9-inch-ball/pixies-pantry-human-grade-9-inch-ball-water-pipe-lavender.jpg,ZvWDBqbYttp4OclO1mQV6Zs7KlKs5CJ6yfvGwRb2.jpg.jpeg
9 inch,Human Grade 9-Inch Ball Water Pipe — Upgraded Rounded Base,Smoke / Matrix,$60,assets/medusa/9-inch-ball/pixies-pantry-human-grade-9-inch-ball-water-pipe-smoke-matrix.png,T1y8mZbJhb8Mc5RtESSZ5asKwBkiaHan8SzAqxeW.png
