size,product,color,wholesale,status,image,slug
6 inch,Human Grade 6-Inch Beaker Water Pipe,Clear,12.5,In Stock,assets/medusa/6-inch-beaker/pixies-pantry-human-grade-6-inch-beaker-water-pipe-clear.jpg,clear
6 inch,Human Grade 6-Inch Beaker Water Pipe,Clear Blue,14.5,In Stock,assets/medusa/6-inch-beaker/pixies-pantry-human-grade-6-inch-beaker-water-pipe-clear-blue.jpg,clear-blue
6 inch,Human Grade 6-Inch Beaker Water Pipe,Clear Green,14.5,In Stock,assets/medusa/6-inch-beaker/pixies-pantry-human-grade-6-inch-beaker-water-pipe-clear-green.jpg,clear-green
6 inch,Human Grade 6-Inch Beaker Water Pipe,Clear Lake Green,14.5,In Stock,assets/medusa/6-inch-beaker/pixies-pantry-human-grade-6-inch-beaker-water-pipe-clear-lake-green.jpg,clear-lake-green
6 inch,Human Grade 6-Inch Beaker Water Pipe,Clear Lavender,14.5,In Stock,assets/medusa/6-inch-beaker/pixies-pantry-human-grade-6-inch-beaker-water-pipe-clear-lavender.jpg,clear-lavender
6 inch,Human Grade 6-Inch Beaker Water Pipe,Clear Pink,14.5,In Stock,assets/medusa/6-inch-beaker/pixies-pantry-human-grade-6-inch-beaker-water-pipe-clear-pink.jpg,clear-pink
6 inch,Human Grade 6-Inch Beaker Water Pipe,Clear Smoke,14.5,In Stock,assets/medusa/6-inch-beaker/pixies-pantry-human-grade-6-inch-beaker-water-pipe-clear-smoke.jpg,clear-smoke
6 inch,Human Grade 6-Inch Beaker Water Pipe,Lake Green White,16.5,In Stock,assets/medusa/6-inch-beaker/pixies-pantry-human-grade-6-inch-beaker-water-pipe-lake-green-white.jpg,lake-green-white
6 inch,Human Grade 6-Inch Beaker Water Pipe,Lavender,18.5,In Stock,assets/medusa/6-inch-beaker/pixies-pantry-human-grade-6-inch-beaker-water-pipe-lavender.jpg,lavender
6 inch,Human Grade 6-Inch Beaker Water Pipe,Light Blue,14.5,Image Needed,,light-blue
6 inch,Human Grade 6-Inch Beaker Water Pipe,Smoke,14.5,In Stock,assets/medusa/6-inch-beaker/pixies-pantry-human-grade-6-inch-beaker-water-pipe-smoke.jpg,smoke
6 inch,Human Grade 6-Inch Beaker Water Pipe,Smoke White,16.5,Out of Stock,assets/medusa/6-inch-beaker/pixies-pantry-human-grade-6-inch-beaker-water-pipe-smoke-white.jpg,smoke-white
6 inch,Human Grade 6-Inch Beaker Water Pipe,Smoke Yellow,16.5,In Stock,assets/medusa/6-inch-beaker/pixies-pantry-human-grade-6-inch-beaker-water-pipe-smoke-yellow.jpg,smoke-yellow
6 inch,Human Grade 6-Inch Beaker Water Pipe,Yellow Smoke,16.5,In Stock,assets/medusa/6-inch-beaker/pixies-pantry-human-grade-6-inch-beaker-water-pipe-yellow-smoke.jpg,yellow-smoke
9 inch,Human Grade 9-Inch Beaker Water Pipe,Clear,14.5,In Stock,assets/medusa/9-inch-beaker/pixies-pantry-9-inch-human-grade-beaker-water-pipe-clear.jpg,clear
9 inch,Human Grade 9-Inch Beaker Water Pipe,Clear Blue,16.5,In Stock,assets/medusa/9-inch-beaker/pixies-pantry-9-inch-human-grade-beaker-water-pipe-clear-blue.jpg,clear-blue
9 inch,Human Grade 9-Inch Beaker Water Pipe,Clear Green,16.5,In Stock,assets/medusa/9-inch-beaker/pixies-pantry-9-inch-human-grade-beaker-water-pipe-clear-green.jpg,clear-green
9 inch,Human Grade 9-Inch Beaker Water Pipe,Clear Lake Green,16.5,In Stock,assets/medusa/9-inch-beaker/pixies-pantry-9-inch-human-grade-beaker-water-pipe-clear-lake-green.jpg,clear-lake-green
9 inch,Human Grade 9-Inch Beaker Water Pipe,Clear Lavender,16.5,In Stock,assets/medusa/9-inch-beaker/pixies-pantry-9-inch-human-grade-beaker-water-pipe-clear-lavender.jpg,clear-lavender
9 inch,Human Grade 9-Inch Beaker Water Pipe,Clear Pink,16.5,In Stock,assets/medusa/9-inch-beaker/pixies-pantry-9-inch-human-grade-beaker-water-pipe-clear-pink.jpg,clear-pink
9 inch,Human Grade 9-Inch Beaker Water Pipe,Clear Smoke,16.5,In Stock,assets/medusa/9-inch-beaker/pixies-pantry-9-inch-human-grade-beaker-water-pipe-clear-smoke.jpg,clear-smoke
9 inch,Human Grade 9-Inch Beaker Water Pipe,Lake Green White,18.0,In Stock,assets/medusa/9-inch-beaker/pixies-pantry-9-inch-human-grade-beaker-water-pipe-lake-green-white.jpg,lake-green-white
9 inch,Human Grade 9-Inch Beaker Water Pipe,Lavender,20.0,In Stock,assets/medusa/9-inch-beaker/pixies-pantry-9-inch-human-grade-beaker-water-pipe-lavender.jpg,lavender
9 inch,Human Grade 9-Inch Beaker Water Pipe,Light Blue,18.0,In Stock,assets/medusa/9-inch-beaker/pixies-pantry-9-inch-human-grade-beaker-water-pipe-light-blue.jpg,light-blue
9 inch,Human Grade 9-Inch Beaker Water Pipe,Smoke,18.0,In Stock,assets/medusa/9-inch-beaker/pixies-pantry-9-inch-human-grade-beaker-water-pipe-smoke.jpg,smoke
9 inch,Human Grade 9-Inch Beaker Water Pipe,Smoke White,18.0,In Stock,assets/medusa/9-inch-beaker/pixies-pantry-9-inch-human-grade-beaker-water-pipe-smoke-white.jpg,smoke-white
9 inch,Human Grade 9-Inch Beaker Water Pipe,Smoke Yellow,18.0,In Stock,assets/medusa/9-inch-beaker/pixies-pantry-9-inch-human-grade-beaker-water-pipe-smoke-yellow.jpg,smoke-yellow
9 inch,Human Grade 9-Inch Beaker Water Pipe,Yellow Smoke,18.0,In Stock,assets/medusa/9-inch-beaker/pixies-pantry-9-inch-human-grade-beaker-water-pipe-yellow-smoke.jpg,yellow-smoke
12 inch,Human Grade 12-Inch Beaker Water Pipe,Clear,16.5,In Stock,assets/medusa/12-inch-beaker/pixies-pantry-human-grade-12-inch-beaker-water-pipe-clear.jpg,clear
12 inch,Human Grade 12-Inch Beaker Water Pipe,Clear Blue,18.5,In Stock,assets/medusa/12-inch-beaker/pixies-pantry-human-grade-12-inch-beaker-water-pipe-clear-blue.jpg,clear-blue
12 inch,Human Grade 12-Inch Beaker Water Pipe,Clear Green,18.5,In Stock,assets/medusa/12-inch-beaker/pixies-pantry-human-grade-12-inch-beaker-water-pipe-clear-green.jpg,clear-green
12 inch,Human Grade 12-Inch Beaker Water Pipe,Clear Lake Green,18.5,In Stock,assets/medusa/12-inch-beaker/pixies-pantry-human-grade-12-inch-beaker-water-pipe-clear-lake-green.jpg,clear-lake-green
